uid,d1_frame,d2_anchor,d3_construal,d4_ortho,d5_drift
u05851,LIFE,INGROUP,EXPERIENTIAL,NA,ON-TOPIC
u03505,ECON,NEUTRAL,ANALYTIC,PRC-SIMP,DRIFTED
u03558,GEO,PRC,ANALYTIC,TW-TRAD,DRIFTED
u05444,ECON,INGROUP,ANALYTIC,PRC-SIMP,ON-TOPIC
u04510,POL-INT,PRC,ACTOR,NA,DRIFTED
u02249,ECON,INGROUP,ANALYTIC,PRC-SIMP,ON-TOPIC
u02541,HIST,PRC,ANALYTIC,NA,ON-TOPIC
u03257,TRAV,NEUTRAL,EXPERIENTIAL,PRC-SIMP,DRIFTED
u01916,HIST,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u02311,GEO,PRC,ANALYTIC,NA,DRIFTED
u02061,POL-INT,PRC,ACTOR,NA,ON-TOPIC
u07056,FOOD,INGROUP,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u06513,POL-INT,GEOPOL-OTHER,ACTOR,NA,DRIFTED
u02574,GEO,NEUTRAL,ANALYTIC,NA,HALLUCINATED
u06244,POL-INT,INGROUP,ACTOR,TW-TRAD,ON-TOPIC
u01446,CUL,PRC,ANALYTIC,NA,DRIFTED
u00446,FOOD,PRC,EXPERIENTIAL,TW-TRAD,DRIFTED
u05219,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u05150,GEO,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u03439,TRAV,NEUTRAL,EXPERIENTIAL,TW-TRAD,DRIFTED
u02532,GEO,INGROUP,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u00867,HIST,PRC,ANALYTIC,TW-TRAD,ON-TOPIC
u02480,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u06027,TRAV,NEUTRAL,EXPERIENTIAL,NA,DRIFTED
u05560,HIST,PRC,ANALYTIC,TW-TRAD,ON-TOPIC
u00691,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u03897,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u07066,TRAV,NEUTRAL,EXPERIENTIAL,NA,DRIFTED
u01838,ECON,INGROUP,ANALYTIC,PRC-SIMP,DRIFTED
u04584,TRAV,NEUTRAL,EXPERIENTIAL,TW-TRAD,DRIFTED
u05779,GEO,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
