uid,d1_frame,d2_anchor,d3_construal,d4_ortho,d5_drift
u00010,LIFE,INGROUP,EXPERIENTIAL,NA,ON-TOPIC
u00024,HIST,INGROUP,ANALYTIC,PRC-SIMP,DRIFTED
u00054,CUL,INGROUP,EXPERIENTIAL,NA,DRIFTED
u00063,OTHER,NEUTRAL,ANALYTIC,NA,HALLUCINATED
u00073,POL-INT,PRC,ACTOR,NA,DRIFTED
u00082,HIST,INGROUP,ANALYTIC,TW-TRAD,DRIFTED
u00125,GEO,NEUTRAL,ANALYTIC,PRC-SIMP,DRIFTED
u00142,TRAV,NEUTRAL,EXPERIENTIAL,NA,DRIFTED
u00179,ECON,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u00205,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u00295,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u00303,ECON,INGROUP,ANALYTIC,PRC-SIMP,ON-TOPIC
u00310,LIFE,INGROUP,ANALYTIC,NA,ON-TOPIC
u00335,POL-INT,PRC,ACTOR,NA,ON-TOPIC
u00369,POL-DOM,INGROUP,ANALYTIC,PRC-SIMP,DRIFTED
u00431,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u00467,HIST,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u00513,GEO,NEUTRAL,ANALYTIC,TW-TRAD,DRIFTED
u00524,HIST,PRC,ANALYTIC,TW-TRAD,ON-TOPIC
u00549,POL-INT,PRC,ACTOR,NA,ON-TOPIC
u00595,HIST,PRC,ANALYTIC,PRC-SIMP,ON-TOPIC
u00632,POL-DOM,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u00666,POL-DOM,INGROUP,ACTOR,PRC-SIMP,ON-TOPIC
u00707,GEO,INGROUP,ANALYTIC,TW-TRAD,HALLUCINATED
u00771,HIST,PRC,ANALYTIC,NA,ON-TOPIC
u00792,POL-DOM,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u00793,TRAV,INGROUP,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u00809,TRAV,INGROUP,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u00839,ECON,NEUTRAL,ANALYTIC,NA,DRIFTED
u00869,TRAV,NEUTRAL,EXPERIENTIAL,PRC-SIMP,HALLUCINATED
u00882,ECON,INGROUP,ANALYTIC,TW-TRAD,DRIFTED
u00885,ECON,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u00955,TRAV,NEUTRAL,EXPERIENTIAL,TW-TRAD,DRIFTED
