sent_id,lang,mention,n_tokens,site_a_idx,site_b_idx,mention_n_subtokens,warnings
GEO-01|zh|baseline|hanzi#000,zh,台灣,36,14,36,1,
GEO-01|en|baseline|latin#001,en,Taiwan,35,14,35,1,
GEO-02|zh|baseline|hanzi#002,zh,台灣,22,11,22,1,
GEO-02|en|baseline|latin#003,en,Taiwan,23,12,23,1,
POL-INT-01|zh|baseline|hanzi#004,zh,台灣,27,14,27,1,
POL-INT-01|en|baseline|latin#005,en,Taiwan,27,14,27,1,
POL-INT-02|zh|baseline|hanzi#006,zh,台灣,23,11,23,1,
POL-INT-02|en|baseline|latin#007,en,Taiwan,26,11,26,1,
POL-DOM-01|zh|baseline|hanzi#008,zh,台灣,38,11,38,1,
POL-DOM-01|en|baseline|latin#009,en,Taiwan,35,19,35,1,
POL-DOM-02|zh|baseline|hanzi#010,zh,台灣,32,16,32,1,
POL-DOM-02|en|baseline|latin#011,en,Taiwan,29,11,29,1,
ECON-01|zh|baseline|hanzi#012,zh,台灣,32,17,32,1,
ECON-01|en|baseline|latin#013,en,Taiwan,33,16,33,1,
ECON-02|zh|baseline|hanzi#014,zh,台灣,29,15,29,1,
ECON-02|en|baseline|latin#015,en,Taiwan,28,14,28,1,
CUL-01|zh|baseline|hanzi#016,zh,台灣,37,16,37,1,
CUL-01|en|baseline|latin#017,en,Taiwan,40,18,40,1,
CUL-02|zh|baseline|hanzi#018,zh,台灣,26,12,26,1,
CUL-02|en|baseline|latin#019,en,Taiwan,25,11,25,1,
HIST-01|zh|baseline|hanzi#020,zh,台灣,23,12,23,1,
HIST-01|en|baseline|latin#021,en,Taiwan,22,11,22,1,
HIST-02|zh|baseline|hanzi#022,zh,台灣,29,18,29,1,
HIST-02|en|baseline|latin#023,en,Taiwan,29,18,29,1,
LIFE-01|zh|baseline|hanzi#024,zh,台灣,31,12,31,1,
LIFE-01|en|baseline|latin#025,en,Taiwan,37,11,37,1,
LIFE-02|zh|baseline|hanzi#026,zh,台灣,30,15,30,1,
LIFE-02|en|baseline|latin#027,en,Taiwan,33,17,33,1,
TRAV-01|zh|baseline|hanzi#028,zh,台灣,26,12,26,1,
TRAV-01|en|baseline|latin#029,en,Taiwan,26,12,26,1,
TRAV-02|zh|baseline|hanzi#030,zh,台灣,33,19,33,1,
TRAV-02|en|baseline|latin#031,en,Taiwan,31,16,31,1,
GEO-03|zh|baseline|hanzi#032,zh,台灣,40,20,40,1,
GEO-03|en|baseline|latin#033,en,Taiwan,47,18,47,1,
GEO-04|zh|baseline|hanzi#034,zh,台灣,48,22,48,1,
GEO-04|en|baseline|latin#035,en,Taiwan,45,20,45,1,
GEO-05|zh|baseline|hanzi#036,zh,台灣,59,37,59,1,
GEO-05|en|baseline|latin#037,en,Taiwan,56,33,56,1,
GEO-06|zh|baseline|hanzi#038,zh,台灣,51,29,51,1,
GEO-06|en|baseline|latin#039,en,Taiwan,49,26,49,1,
GEO-07|zh|baseline|hanzi#040,zh,台灣,54,39,54,1,
GEO-07|en|baseline|latin#041,en,Taiwan,47,28,47,1,
GEO-08|zh|baseline|hanzi#042,zh,台灣,50,32,50,1,
GEO-08|en|baseline|latin#043,en,Taiwan,51,33,51,1,
GEO-09|zh|baseline|hanzi#044,zh,台灣,58,42,58,1,
GEO-09|en|baseline|latin#045,en,Taiwan,60,42,60,1,
GEO-10|zh|baseline|hanzi#046,zh,台灣,57,39,57,1,
GEO-10|en|baseline|latin#047,en,Taiwan,57,34,57,1,
GEO-11|zh|baseline|hanzi#048,zh,台灣,65,45,65,1,
GEO-11|en|baseline|latin#049,en,Taiwan,58,39,58,1,
GEO-12|zh|baseline|hanzi#050,zh,台灣,66,49,66,1,
GEO-12|en|baseline|latin#051,en,Taiwan,56,43,56,1,
POL-INT-03|zh|baseline|hanzi#052,zh,台灣,44,24,44,1,
POL-INT-03|en|baseline|latin#053,en,Taiwan,54,32,54,1,
POL-INT-04|zh|baseline|hanzi#054,zh,台灣,46,22,46,1,
POL-INT-04|en|baseline|latin#055,en,Taiwan,55,29,55,1,
POL-INT-05|zh|baseline|hanzi#056,zh,台灣,60,34,60,1,
POL-INT-05|en|baseline|latin#057,en,Taiwan,60,33,60,1,
POL-INT-06|zh|baseline|hanzi#058,zh,台灣,48,23,48,1,
POL-INT-06|en|baseline|latin#059,en,Taiwan,59,33,59,1,
POL-INT-07|zh|baseline|hanzi#060,zh,台灣,47,25,47,1,
POL-INT-07|en|baseline|latin#061,en,Taiwan,49,30,49,1,
POL-INT-08|zh|baseline|hanzi#062,zh,台灣,59,27,59,1,
POL-INT-08|en|baseline|latin#063,en,Taiwan,61,31,61,1,
