desc_id,vector_id,sample_k,sent_id,pair_id,frame,entity,lang,mention_script,cell_type,site,mse,cos,desc_lang,desc_len
GEO-01|zh|baseline|hanzi#000#siteA#k0,GEO-01|zh|baseline|hanzi#000#siteA,0,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,A,0.010343,0.994828,en,567
GEO-01|zh|baseline|hanzi#000#siteA#k1,GEO-01|zh|baseline|hanzi#000#siteA,1,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,A,0.011065,0.994468,en,649
GEO-01|zh|baseline|hanzi#000#siteA#k2,GEO-01|zh|baseline|hanzi#000#siteA,2,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,A,0.011447,0.994276,en,608
GEO-01|zh|baseline|hanzi#000#siteA#k3,GEO-01|zh|baseline|hanzi#000#siteA,3,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,A,0.011116,0.994442,en,596
GEO-01|zh|baseline|hanzi#000#siteA#k4,GEO-01|zh|baseline|hanzi#000#siteA,4,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,A,0.010956,0.994522,en,622
GEO-01|zh|baseline|hanzi#000#siteB#k0,GEO-01|zh|baseline|hanzi#000#siteB,0,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,B,0.006833,0.996584,mixed,581
GEO-01|zh|baseline|hanzi#000#siteB#k1,GEO-01|zh|baseline|hanzi#000#siteB,1,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,B,0.007678,0.996161,mixed,522
GEO-01|zh|baseline|hanzi#000#siteB#k2,GEO-01|zh|baseline|hanzi#000#siteB,2,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,B,0.006788,0.996606,mixed,553
GEO-01|zh|baseline|hanzi#000#siteB#k3,GEO-01|zh|baseline|hanzi#000#siteB,3,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,B,0.00776,0.99612,mixed,559
GEO-01|zh|baseline|hanzi#000#siteB#k4,GEO-01|zh|baseline|hanzi#000#siteB,4,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,B,0.007077,0.996462,mixed,523
GEO-01|en|baseline|latin#001#siteA#k0,GEO-01|en|baseline|latin#001#siteA,0,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,A,0.008787,0.995607,en,725
GEO-01|en|baseline|latin#001#siteA#k1,GEO-01|en|baseline|latin#001#siteA,1,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,A,0.010231,0.994884,en,709
GEO-01|en|baseline|latin#001#siteA#k2,GEO-01|en|baseline|latin#001#siteA,2,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,A,0.010062,0.994969,en,707
GEO-01|en|baseline|latin#001#siteA#k3,GEO-01|en|baseline|latin#001#siteA,3,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,A,0.009759,0.995121,en,686
GEO-01|en|baseline|latin#001#siteA#k4,GEO-01|en|baseline|latin#001#siteA,4,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,A,0.009844,0.995078,en,717
GEO-01|en|baseline|latin#001#siteB#k0,GEO-01|en|baseline|latin#001#siteB,0,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,B,0.006106,0.996947,en,711
GEO-01|en|baseline|latin#001#siteB#k1,GEO-01|en|baseline|latin#001#siteB,1,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,B,0.006236,0.996882,en,745
GEO-01|en|baseline|latin#001#siteB#k2,GEO-01|en|baseline|latin#001#siteB,2,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,B,0.006067,0.996966,en,734
GEO-01|en|baseline|latin#001#siteB#k3,GEO-01|en|baseline|latin#001#siteB,3,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,B,0.006023,0.996989,en,712
