sent_id,lang,mention,n_tokens,site_a_idx,site_b_idx,mention_n_subtokens,warnings
LIFE-12|zh|baseline|hanzi#000,zh,台灣,54,30,54,1,
POL-DOM-07|zh|baseline|hanzi#001,zh,台灣,53,40,53,1,
GEO-C04-JP|en|baseline|latin#002,en,Japan,41,22,41,1,
TRAV-07|en|baseline|latin#003,en,Taiwan,48,29,48,1,
CUL-C04-JP|en|baseline|latin#004,en,Japan,40,26,40,1,
HIST-03|en|baseline|latin#005,en,Taiwan,51,33,51,1,
CUL-06|zh|baseline|hanzi#006,zh,台灣,40,22,40,1,
HIST-05|zh|baseline|hanzi#007,zh,台灣,41,30,41,1,
POL-INT-03|zh|baseline|hanzi#008,zh,台灣,44,24,44,1,
GEO-05|zh|codeswitch|latin#009,zh,Taiwan,58,36,58,1,
TRAV-C01-IS|zh|baseline|hanzi#010,zh,冰島,66,45,66,2,
POL-INT-10|en|baseline|latin#011,en,Taiwan,48,26,48,1,
LIFE-01|en|baseline|latin#012,en,Taiwan,37,11,37,1,
ECON-C06-IS|en|baseline|latin#013,en,Iceland,56,27,56,1,
ECON-06|zh|codeswitch|latin#014,zh,Taiwan,44,28,44,1,
POL-DOM-12|en|baseline|latin#015,en,Taiwan,61,46,61,1,
LIFE-C03-JP|zh|baseline|hanzi#016,zh,日本,83,44,83,1,
POL-DOM-10|zh|baseline|hanzi#017,zh,台灣,57,38,57,1,
GEO-07|en|baseline|latin#018,en,Taiwan,47,28,47,1,
TRAV-C05-JP|en|baseline|latin#019,en,Japan,62,38,62,1,
