desc_id,vector_id,sample_k,sent_id,pair_id,frame,entity,lang,mention_script,cell_type,site,mse,cos,desc_lang,desc_len
LIFE-12|zh|baseline|hanzi#000#siteA#k0,LIFE-12|zh|baseline|hanzi#000#siteA,0,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,A,0.011729,0.994136,en,580
LIFE-12|zh|baseline|hanzi#000#siteA#k1,LIFE-12|zh|baseline|hanzi#000#siteA,1,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,A,0.010754,0.994623,en,637
LIFE-12|zh|baseline|hanzi#000#siteA#k2,LIFE-12|zh|baseline|hanzi#000#siteA,2,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,A,0.011807,0.994097,en,605
LIFE-12|zh|baseline|hanzi#000#siteA#k3,LIFE-12|zh|baseline|hanzi#000#siteA,3,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,A,0.011063,0.994469,en,565
LIFE-12|zh|baseline|hanzi#000#siteA#k4,LIFE-12|zh|baseline|hanzi#000#siteA,4,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,A,0.011093,0.994454,en,650
LIFE-12|zh|baseline|hanzi#000#siteB#k0,LIFE-12|zh|baseline|hanzi#000#siteB,0,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,B,0.008066,0.995967,mixed,494
LIFE-12|zh|baseline|hanzi#000#siteB#k1,LIFE-12|zh|baseline|hanzi#000#siteB,1,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,B,0.007999,0.996001,mixed,467
LIFE-12|zh|baseline|hanzi#000#siteB#k2,LIFE-12|zh|baseline|hanzi#000#siteB,2,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,B,0.007839,0.996081,mixed,475
LIFE-12|zh|baseline|hanzi#000#siteB#k3,LIFE-12|zh|baseline|hanzi#000#siteB,3,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,B,0.007604,0.996198,mixed,503
LIFE-12|zh|baseline|hanzi#000#siteB#k4,LIFE-12|zh|baseline|hanzi#000#siteB,4,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,B,0.007464,0.996268,mixed,507
POL-DOM-07|zh|baseline|hanzi#001#siteA#k0,POL-DOM-07|zh|baseline|hanzi#001#siteA,0,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.00944,0.99528,mixed,526
POL-DOM-07|zh|baseline|hanzi#001#siteA#k1,POL-DOM-07|zh|baseline|hanzi#001#siteA,1,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.010769,0.994615,en,559
POL-DOM-07|zh|baseline|hanzi#001#siteA#k2,POL-DOM-07|zh|baseline|hanzi#001#siteA,2,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.011381,0.994309,en,584
POL-DOM-07|zh|baseline|hanzi#001#siteA#k3,POL-DOM-07|zh|baseline|hanzi#001#siteA,3,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.010501,0.99475,en,579
POL-DOM-07|zh|baseline|hanzi#001#siteA#k4,POL-DOM-07|zh|baseline|hanzi#001#siteA,4,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.010445,0.994777,en,564
POL-DOM-07|zh|baseline|hanzi#001#siteB#k0,POL-DOM-07|zh|baseline|hanzi#001#siteB,0,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,B,0.007912,0.996044,mixed,543
POL-DOM-07|zh|baseline|hanzi#001#siteB#k1,POL-DOM-07|zh|baseline|hanzi#001#siteB,1,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,B,0.008122,0.995939,en,589
POL-DOM-07|zh|baseline|hanzi#001#siteB#k2,POL-DOM-07|zh|baseline|hanzi#001#siteB,2,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,B,0.008679,0.99566,mixed,544
POL-DOM-07|zh|baseline|hanzi#001#siteB#k3,POL-DOM-07|zh|baseline|hanzi#001#siteB,3,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,B,0.008661,0.995669,mixed,506
POL-DOM-07|zh|baseline|hanzi#001#siteB#k4,POL-DOM-07|zh|baseline|hanzi#001#siteB,4,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,B,0.007855,0.996073,mixed,498
GEO-C04-JP|en|baseline|latin#002#siteA#k0,GEO-C04-JP|en|baseline|latin#002#siteA,0,GEO-C04-JP|en|baseline|latin#002,GEO-C04-JP,GEO,Japan,en,latin,baseline,A,0.009494,0.995253,en,688
GEO-C04-JP|en|baseline|latin#002#siteA#k1,GEO-C04-JP|en|baseline|latin#002#siteA,1,GEO-C04-JP|en|baseline|latin#002,GEO-C04-JP,GEO,Japan,en,latin,baseline,A,0.009589,0.995205,en,660
GEO-C04-JP|en|baseline|latin#002#siteA#k2,GEO-C04-JP|en|baseline|latin#002#siteA,2,GEO-C04-JP|en|baseline|latin#002,GEO-C04-JP,GEO,Japan,en,latin,baseline,A,0.008753,0.995624,en,664
