sent_id,lang,mention,n_tokens,site_a_idx,site_b_idx,mention_n_subtokens,warnings
LIFE-12|zh|baseline|hanzi#000,zh,台灣,52,26,51,1,
POL-DOM-07|zh|baseline|hanzi#001,zh,台灣,58,42,57,1,
GEO-C04-JP|en|baseline|latin#002,en,Japan,43,23,42,1,
TRAV-07|en|baseline|latin#003,en,Taiwan,49,29,48,1,
CUL-C04-JP|en|baseline|latin#004,en,Japan,41,26,40,1,
HIST-03|en|baseline|latin#005,en,Taiwan,53,35,52,1,
CUL-06|zh|baseline|hanzi#006,zh,台灣,38,21,37,1,
HIST-05|zh|baseline|hanzi#007,zh,台灣,43,29,42,1,
POL-INT-03|zh|baseline|hanzi#008,zh,台灣,45,24,44,1,
GEO-05|zh|codeswitch|latin#009,zh,Taiwan,59,35,58,2,
TRAV-C01-IS|zh|baseline|hanzi#010,zh,冰島,66,44,65,2,
POL-INT-10|en|baseline|latin#011,en,Taiwan,49,25,48,1,
LIFE-01|en|baseline|latin#012,en,Taiwan,36,10,35,1,
ECON-C06-IS|en|baseline|latin#013,en,Iceland,58,28,57,1,
ECON-06|zh|codeswitch|latin#014,zh,Taiwan,47,30,46,2,
POL-DOM-12|en|baseline|latin#015,en,Taiwan,60,44,59,1,
LIFE-C03-JP|zh|baseline|hanzi#016,zh,日本,88,45,87,1,
POL-DOM-10|zh|baseline|hanzi#017,zh,台灣,59,37,58,1,
GEO-07|en|baseline|latin#018,en,Taiwan,50,29,49,1,
TRAV-C05-JP|en|baseline|latin#019,en,Japan,61,38,60,1,
