desc_id,vector_id,sample_k,sent_id,pair_id,frame,entity,lang,mention_script,cell_type,site,mse,cos,desc_lang,desc_len
LIFE-12|zh|baseline|hanzi#000#siteA#k0,LIFE-12|zh|baseline|hanzi#000#siteA,0,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,A,0.202419,0.89879,en,549
LIFE-12|zh|baseline|hanzi#000#siteA#k1,LIFE-12|zh|baseline|hanzi#000#siteA,1,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,A,0.216424,0.891788,en,565
LIFE-12|zh|baseline|hanzi#000#siteA#k2,LIFE-12|zh|baseline|hanzi#000#siteA,2,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,A,0.197252,0.901374,en,538
LIFE-12|zh|baseline|hanzi#000#siteA#k3,LIFE-12|zh|baseline|hanzi#000#siteA,3,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,A,0.212576,0.893712,en,557
LIFE-12|zh|baseline|hanzi#000#siteA#k4,LIFE-12|zh|baseline|hanzi#000#siteA,4,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,A,0.226818,0.886591,en,564
LIFE-12|zh|baseline|hanzi#000#siteB#k0,LIFE-12|zh|baseline|hanzi#000#siteB,0,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,B,0.197443,0.901279,en,560
LIFE-12|zh|baseline|hanzi#000#siteB#k1,LIFE-12|zh|baseline|hanzi#000#siteB,1,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,B,0.186839,0.906581,mixed,469
LIFE-12|zh|baseline|hanzi#000#siteB#k2,LIFE-12|zh|baseline|hanzi#000#siteB,2,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,B,0.183354,0.908323,mixed,470
LIFE-12|zh|baseline|hanzi#000#siteB#k3,LIFE-12|zh|baseline|hanzi#000#siteB,3,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,B,0.192202,0.903899,mixed,455
LIFE-12|zh|baseline|hanzi#000#siteB#k4,LIFE-12|zh|baseline|hanzi#000#siteB,4,LIFE-12|zh|baseline|hanzi#000,LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,B,0.179135,0.910433,mixed,440
POL-DOM-07|zh|baseline|hanzi#001#siteA#k0,POL-DOM-07|zh|baseline|hanzi#001#siteA,0,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.197619,0.90119,en,581
POL-DOM-07|zh|baseline|hanzi#001#siteA#k1,POL-DOM-07|zh|baseline|hanzi#001#siteA,1,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.205357,0.897321,en,645
POL-DOM-07|zh|baseline|hanzi#001#siteA#k2,POL-DOM-07|zh|baseline|hanzi#001#siteA,2,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.188365,0.905818,en,522
POL-DOM-07|zh|baseline|hanzi#001#siteA#k3,POL-DOM-07|zh|baseline|hanzi#001#siteA,3,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.161791,0.919105,en,539
POL-DOM-07|zh|baseline|hanzi#001#siteA#k4,POL-DOM-07|zh|baseline|hanzi#001#siteA,4,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.191201,0.9044,en,554
POL-DOM-07|zh|baseline|hanzi#001#siteB#k0,POL-DOM-07|zh|baseline|hanzi#001#siteB,0,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,B,0.200779,0.899611,mixed,457
POL-DOM-07|zh|baseline|hanzi#001#siteB#k1,POL-DOM-07|zh|baseline|hanzi#001#siteB,1,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,B,0.224075,0.887963,mixed,486
POL-DOM-07|zh|baseline|hanzi#001#siteB#k2,POL-DOM-07|zh|baseline|hanzi#001#siteB,2,POL-DOM-07|zh|baseline|hanzi#001,POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,B,0.203428,0.898286,mixed,510
