sent_id,lang,mention,n_tokens,site_a_idx,site_b_idx,mention_n_subtokens,warnings
GEO-01|zh|baseline|hanzi#000,zh,台灣,38,15,37,1,
GEO-01|en|baseline|latin#001,en,Taiwan,38,15,37,1,
GEO-02|zh|baseline|hanzi#002,zh,台灣,24,10,23,1,
GEO-02|en|baseline|latin#003,en,Taiwan,25,13,24,1,
POL-INT-01|zh|baseline|hanzi#004,zh,台灣,28,13,27,1,
POL-INT-01|en|baseline|latin#005,en,Taiwan,26,13,25,1,
POL-INT-02|zh|baseline|hanzi#006,zh,台灣,25,11,24,1,
POL-INT-02|en|baseline|latin#007,en,Taiwan,26,11,25,1,
POL-DOM-01|zh|baseline|hanzi#008,zh,台灣,40,10,39,1,
POL-DOM-01|en|baseline|latin#009,en,Taiwan,35,19,34,1,
POL-DOM-02|zh|baseline|hanzi#010,zh,台灣,29,13,28,1,
POL-DOM-02|en|baseline|latin#011,en,Taiwan,29,10,28,1,
ECON-01|zh|baseline|hanzi#012,zh,台灣,34,17,33,1,
ECON-01|en|baseline|latin#013,en,Taiwan,32,15,31,1,
ECON-02|zh|baseline|hanzi#014,zh,台灣,31,14,30,1,
ECON-02|en|baseline|latin#015,en,Taiwan,26,12,25,1,
CUL-01|zh|baseline|hanzi#016,zh,台灣,38,16,37,1,
CUL-01|en|baseline|latin#017,en,Taiwan,39,17,38,1,
CUL-02|zh|baseline|hanzi#018,zh,台灣,28,13,27,1,
CUL-02|en|baseline|latin#019,en,Taiwan,26,10,25,1,
HIST-01|zh|baseline|hanzi#020,zh,台灣,23,11,22,1,
HIST-01|en|baseline|latin#021,en,Taiwan,22,10,21,1,
HIST-02|zh|baseline|hanzi#022,zh,台灣,32,18,31,1,
HIST-02|en|baseline|latin#023,en,Taiwan,30,18,29,1,
LIFE-01|zh|baseline|hanzi#024,zh,台灣,29,11,28,1,
LIFE-01|en|baseline|latin#025,en,Taiwan,36,10,35,1,
LIFE-02|zh|baseline|hanzi#026,zh,台灣,30,14,29,1,
LIFE-02|en|baseline|latin#027,en,Taiwan,32,16,31,1,
TRAV-01|zh|baseline|hanzi#028,zh,台灣,27,11,26,1,
TRAV-01|en|baseline|latin#029,en,Taiwan,25,10,24,1,
TRAV-02|zh|baseline|hanzi#030,zh,台灣,33,18,32,1,
TRAV-02|en|baseline|latin#031,en,Taiwan,33,17,32,1,
