desc_id,vector_id,sample_k,sent_id,pair_id,frame,entity,lang,mention_script,cell_type,site,mse,cos,desc_lang,desc_len,pass_gate
GEO-01|zh|baseline|hanzi#000#siteA#k0,GEO-01|zh|baseline|hanzi#000#siteA,0,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,A,0.130958,0.934521,en,607,1
GEO-01|zh|baseline|hanzi#000#siteA#k1,GEO-01|zh|baseline|hanzi#000#siteA,1,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,A,0.138777,0.930612,en,575,1
GEO-01|zh|baseline|hanzi#000#siteA#k2,GEO-01|zh|baseline|hanzi#000#siteA,2,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,A,0.14859,0.925705,mixed,542,1
GEO-01|zh|baseline|hanzi#000#siteA#k3,GEO-01|zh|baseline|hanzi#000#siteA,3,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,A,0.146689,0.926656,en,634,1
GEO-01|zh|baseline|hanzi#000#siteA#k4,GEO-01|zh|baseline|hanzi#000#siteA,4,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,A,0.133949,0.933026,en,565,1
GEO-01|zh|baseline|hanzi#000#siteB#k0,GEO-01|zh|baseline|hanzi#000#siteB,0,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,B,0.223069,0.888466,mixed,554,0
GEO-01|zh|baseline|hanzi#000#siteB#k1,GEO-01|zh|baseline|hanzi#000#siteB,1,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,B,0.205293,0.897353,mixed,530,0
GEO-01|zh|baseline|hanzi#000#siteB#k2,GEO-01|zh|baseline|hanzi#000#siteB,2,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,B,0.228502,0.885749,mixed,503,0
GEO-01|zh|baseline|hanzi#000#siteB#k3,GEO-01|zh|baseline|hanzi#000#siteB,3,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,B,0.214153,0.892923,mixed,527,0
GEO-01|zh|baseline|hanzi#000#siteB#k4,GEO-01|zh|baseline|hanzi#000#siteB,4,GEO-01|zh|baseline|hanzi#000,GEO-01,GEO,Taiwan,zh,hanzi,baseline,B,0.219458,0.890271,mixed,518,0
GEO-01|en|baseline|latin#001#siteA#k0,GEO-01|en|baseline|latin#001#siteA,0,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,A,0.188843,0.905579,en,761,0
GEO-01|en|baseline|latin#001#siteA#k1,GEO-01|en|baseline|latin#001#siteA,1,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,A,0.178162,0.910919,en,773,1
GEO-01|en|baseline|latin#001#siteA#k2,GEO-01|en|baseline|latin#001#siteA,2,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,A,0.166361,0.91682,en,731,1
GEO-01|en|baseline|latin#001#siteA#k3,GEO-01|en|baseline|latin#001#siteA,3,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,A,0.174429,0.912786,en,760,1
GEO-01|en|baseline|latin#001#siteA#k4,GEO-01|en|baseline|latin#001#siteA,4,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,A,0.190193,0.904904,en,750,0
GEO-01|en|baseline|latin#001#siteB#k0,GEO-01|en|baseline|latin#001#siteB,0,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,B,0.292109,0.853946,en,767,0
GEO-01|en|baseline|latin#001#siteB#k1,GEO-01|en|baseline|latin#001#siteB,1,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,B,0.268535,0.865733,en,763,0
GEO-01|en|baseline|latin#001#siteB#k2,GEO-01|en|baseline|latin#001#siteB,2,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,B,0.276267,0.861867,en,769,0
GEO-01|en|baseline|latin#001#siteB#k3,GEO-01|en|baseline|latin#001#siteB,3,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,B,0.287275,0.856362,en,780,0
GEO-01|en|baseline|latin#001#siteB#k4,GEO-01|en|baseline|latin#001#siteB,4,GEO-01|en|baseline|latin#001,GEO-01,GEO,Taiwan,en,latin,baseline,B,0.317837,0.841082,en,747,0
GEO-02|zh|baseline|hanzi#002#siteA#k0,GEO-02|zh|baseline|hanzi#002#siteA,0,GEO-02|zh|baseline|hanzi#002,GEO-02,GEO,Taiwan,zh,hanzi,baseline,A,0.139676,0.930162,en,593,1
GEO-02|zh|baseline|hanzi#002#siteA#k1,GEO-02|zh|baseline|hanzi#002#siteA,1,GEO-02|zh|baseline|hanzi#002,GEO-02,GEO,Taiwan,zh,hanzi,baseline,A,0.135539,0.93223,en,631,1
GEO-02|zh|baseline|hanzi#002#siteA#k2,GEO-02|zh|baseline|hanzi#002#siteA,2,GEO-02|zh|baseline|hanzi#002,GEO-02,GEO,Taiwan,zh,hanzi,baseline,A,0.138093,0.930954,en,586,1
GEO-02|zh|baseline|hanzi#002#siteA#k3,GEO-02|zh|baseline|hanzi#002#siteA,3,GEO-02|zh|baseline|hanzi#002,GEO-02,GEO,Taiwan,zh,hanzi,baseline,A,0.140675,0.929663,en,579,1
GEO-02|zh|baseline|hanzi#002#siteA#k4,GEO-02|zh|baseline|hanzi#002#siteA,4,GEO-02|zh|baseline|hanzi#002,GEO-02,GEO,Taiwan,zh,hanzi,baseline,A,0.130744,0.934628,en,597,1
GEO-02|zh|baseline|hanzi#002#siteB#k0,GEO-02|zh|baseline|hanzi#002#siteB,0,GEO-02|zh|baseline|hanzi#002,GEO-02,GEO,Taiwan,zh,hanzi,baseline,B,0.190963,0.904519,mixed,516,0
GEO-02|zh|baseline|hanzi#002#siteB#k1,GEO-02|zh|baseline|hanzi#002#siteB,1,GEO-02|zh|baseline|hanzi#002,GEO-02,GEO,Taiwan,zh,hanzi,baseline,B,0.184069,0.907965,mixed,498,0
GEO-02|zh|baseline|hanzi#002#siteB#k2,GEO-02|zh|baseline|hanzi#002#siteB,2,GEO-02|zh|baseline|hanzi#002,GEO-02,GEO,Taiwan,zh,hanzi,baseline,B,0.201943,0.899029,mixed,509,0
GEO-02|zh|baseline|hanzi#002#siteB#k3,GEO-02|zh|baseline|hanzi#002#siteB,3,GEO-02|zh|baseline|hanzi#002,GEO-02,GEO,Taiwan,zh,hanzi,baseline,B,0.191004,0.904498,mixed,520,0
GEO-02|zh|baseline|hanzi#002#siteB#k4,GEO-02|zh|baseline|hanzi#002#siteB,4,GEO-02|zh|baseline|hanzi#002,GEO-02,GEO,Taiwan,zh,hanzi,baseline,B,0.195238,0.902381,mixed,482,0
GEO-02|en|baseline|latin#003#siteA#k0,GEO-02|en|baseline|latin#003#siteA,0,GEO-02|en|baseline|latin#003,GEO-02,GEO,Taiwan,en,latin,baseline,A,0.203204,0.898398,en,739,0
GEO-02|en|baseline|latin#003#siteA#k1,GEO-02|en|baseline|latin#003#siteA,1,GEO-02|en|baseline|latin#003,GEO-02,GEO,Taiwan,en,latin,baseline,A,0.208298,0.895851,en,708,0
GEO-02|en|baseline|latin#003#siteA#k2,GEO-02|en|baseline|latin#003#siteA,2,GEO-02|en|baseline|latin#003,GEO-02,GEO,Taiwan,en,latin,baseline,A,0.19711,0.901445,en,722,0
GEO-02|en|baseline|latin#003#siteA#k3,GEO-02|en|baseline|latin#003#siteA,3,GEO-02|en|baseline|latin#003,GEO-02,GEO,Taiwan,en,latin,baseline,A,0.204975,0.897513,en,699,0
GEO-02|en|baseline|latin#003#siteA#k4,GEO-02|en|baseline|latin#003#siteA,4,GEO-02|en|baseline|latin#003,GEO-02,GEO,Taiwan,en,latin,baseline,A,0.198636,0.900682,en,738,0
