pair_id,frame,zh_tokens,en_tokens,gap,within_20pct
CUL-01,CUL,32,31,0.031,True
CUL-02,CUL,28,26,0.071,True
ECON-01,ECON,23,17,0.261,False
ECON-02,ECON,27,21,0.222,False
GEO-01,GEO,32,33,0.03,True
GEO-02,GEO,24,25,0.04,True
HIST-01,HIST,23,22,0.043,True
HIST-02,HIST,22,23,0.043,True
LIFE-01,LIFE,25,32,0.219,False
LIFE-02,LIFE,25,25,0.0,True
POL-DOM-01,POL-DOM,31,24,0.226,False
POL-DOM-02,POL-DOM,23,20,0.13,True
POL-INT-01,POL-INT,24,22,0.083,True
POL-INT-02,POL-INT,23,22,0.043,True
TRAV-01,TRAV,27,25,0.074,True
TRAV-02,TRAV,24,24,0.0,True
