pair_id,frame,lang,mention,n_mentions,n_tokens,mention_tok_start,mention_tok_end,mention_n_subtokens,mention_pieces,site_a_idx,site_b_idx,leadin_tokens,naive_search_agrees,span_decodes_ok,warnings
GEO-01,GEO,zh,台灣,1,32,9,10,1,'åı°çģ£',9,31,9,True,True,
GEO-01,GEO,en,Taiwan,1,33,10,11,1,'ĠTaiwan',10,32,10,False,True,
GEO-02,GEO,zh,台灣,1,24,10,11,1,'åı°çģ£',10,23,10,True,True,
GEO-02,GEO,en,Taiwan,1,25,13,14,1,'ĠTaiwan',13,24,13,False,True,
POL-INT-01,POL-INT,zh,台灣,1,24,9,10,1,'åı°çģ£',9,23,9,True,True,
POL-INT-01,POL-INT,en,Taiwan,1,22,9,10,1,'ĠTaiwan',9,21,9,False,True,
POL-INT-02,POL-INT,zh,台灣,1,23,9,10,1,'åı°çģ£',9,22,9,True,True,
POL-INT-02,POL-INT,en,Taiwan,1,22,7,8,1,'ĠTaiwan',7,21,7,False,True,
POL-DOM-01,POL-DOM,zh,台灣,1,31,8,9,1,'åı°çģ£',8,30,8,True,True,
POL-DOM-01,POL-DOM,en,Taiwan,1,24,9,10,1,'ĠTaiwan',9,23,9,False,True,
POL-DOM-02,POL-DOM,zh,台灣,1,23,9,10,1,'åı°çģ£',9,22,9,True,True,
POL-DOM-02,POL-DOM,en,Taiwan,1,20,6,7,1,'ĠTaiwan',6,19,6,False,True,
ECON-01,ECON,zh,台灣,1,23,9,10,1,'åı°çģ£',9,22,9,True,True,
ECON-01,ECON,en,Taiwan,1,17,7,8,1,'ĠTaiwan',7,16,7,False,True,
ECON-02,ECON,zh,台灣,1,27,12,13,1,'åı°çģ£',12,26,12,True,True,
ECON-02,ECON,en,Taiwan,1,21,9,10,1,'ĠTaiwan',9,20,9,False,True,
CUL-01,CUL,zh,台灣,1,32,10,11,1,'åı°çģ£',10,31,10,True,True,
CUL-01,CUL,en,Taiwan,1,31,9,10,1,'ĠTaiwan',9,30,9,False,True,
CUL-02,CUL,zh,台灣,1,28,13,14,1,'åı°çģ£',13,27,13,True,True,
CUL-02,CUL,en,Taiwan,1,26,10,11,1,'ĠTaiwan',10,25,10,False,True,
HIST-01,HIST,zh,台灣,1,23,11,12,1,'åı°çģ£',11,22,11,True,True,
HIST-01,HIST,en,Taiwan,1,22,10,11,1,'ĠTaiwan',10,21,10,False,True,
HIST-02,HIST,zh,台灣,1,22,8,9,1,'åı°çģ£',8,21,8,True,True,
HIST-02,HIST,en,Taiwan,1,23,11,12,1,'ĠTaiwan',11,22,11,False,True,
LIFE-01,LIFE,zh,台灣,1,25,7,8,1,'åı°çģ£',7,24,7,True,True,
LIFE-01,LIFE,en,Taiwan,1,32,6,7,1,'ĠTaiwan',6,31,6,False,True,
LIFE-02,LIFE,zh,台灣,1,25,9,10,1,'åı°çģ£',9,24,9,True,True,
LIFE-02,LIFE,en,Taiwan,1,25,9,10,1,'ĠTaiwan',9,24,9,False,True,
TRAV-01,TRAV,zh,台灣,1,27,11,12,1,'åı°çģ£',11,26,11,True,True,
TRAV-01,TRAV,en,Taiwan,1,25,10,11,1,'ĠTaiwan',10,24,10,False,True,
TRAV-02,TRAV,zh,台灣,1,24,11,12,1,'åı°çģ£',11,23,11,True,True,
TRAV-02,TRAV,en,Taiwan,1,24,8,9,1,'ĠTaiwan',8,23,8,False,True,
